1 Buch, Bundesfinanzministerium, 2015, ca. 33,00 ,  Aufnahme Bestand Bibliothek, BMF, fail
1 Buch, Bundesfinanzministerium, 2015, ca. 35,00 ,  Aufnahme Bestand Bibliothek, BMF, fail
1 Buch, Bundesfinanzministerium, 2015, ca. 37,80 ,  Aufnahme Bestand Bibliothek, BMF, fail
1 Buch, Bundesfinanzministerium, 2015, ca. 35,00 ,  Aufnahme Bestand Bibliothek, BMF, fail
1 Buch, Bundesfinanzministerium, 2015, ca. 37,80 ,  Aufnahme Bestand Bibliothek, BMF, fail
1 Buch, Bundesfinanzministerium, 2015, ca. 22,00 ,  Verwertung, BMF, fail
1 kl. Christstollen, Bundesfinanzministerium, 2015, ca. 10,00 , Behalten, BMF, success
1 Buch, Bundesfinanzministerium, 2015, ca. 37,80 ,  Verwertung, BMF, fail
1 Buch, Bundesfinanzministerium, 2015, ca. 37,80 ,  Verwertung, BMF, fail
1 Lebensmittelpräsent, Bundesfinanzministerium, 2015, < 10,00 , Behalten, BMF, success
1 Lebensmittelpräsent, Bundesfinanzministerium, 2015, < 10,00 , Behalten, BMF, success
